sex,yob,g2000,g2002,g2004,p2000,p2002,p2004,treatment,cluster,voted,hh_id,hh_size,numberofnames,p2004_mean,g2004_mean,voted_ind
female,1936,yes,yes,yes,no,no,No,Civic Duty,6,No,91,2,21,0.3333333,0.8095238,0
male,1931,yes,yes,yes,no,no,No,Civic Duty,6,No,91,2,21,0.3333333,0.8095238,0
female,1931,yes,yes,yes,yes,yes,No,Neighbors,6,No,92,1,21,0.3333333,0.8095238,0
male,1931,yes,yes,yes,yes,no,Yes,Control,6,Yes,93,4,21,0.3333333,0.8095238,1
female,1979,yes,yes,yes,no,yes,Yes,Control,6,Yes,93,4,21,0.3333333,0.8095238,1
female,1941,yes,yes,yes,no,no,Yes,Control,6,Yes,93,4,21,0.3333333,0.8095238,1
male,1975,yes,no,yes,yes,no,Yes,Control,6,Yes,93,4,21,0.3333333,0.8095238,1
female,1980,yes,yes,yes,no,no,Yes,Control,6,Yes,94,1,21,0.3333333,0.952381,1
male,1958,yes,yes,yes,yes,no,Yes,Control,6,No,95,2,21,0.2380952,0.8571429,0
female,1958,yes,no,yes,no,no,No,Control,6,No,95,2,21,0.2380952,0.8571429,0
male,1948,yes,yes,yes,no,no,Yes,Hawthorne,6,No,96,2,21,0.1428571,0.8571429,0
female,1960,yes,yes,yes,no,no,Yes,Hawthorne,6,No,96,2,21,0.1428571,0.8571429,0
male,1952,yes,yes,yes,yes,yes,Yes,Self,6,Yes,97,2,21,0.2857143,0.8571429,1
female,1951,yes,yes,yes,no,no,Yes,Self,6,Yes,97,2,21,0.2857143,0.8571429,1
male,1959,yes,yes,yes,yes,yes,Yes,Neighbors,6,Yes,98,2,21,0.1428571,0.8571429,1
female,1956,yes,yes,yes,yes,no,No,Neighbors,6,No,98,2,21,0.1428571,0.8571429,0
female,1967,yes,yes,yes,no,yes,Yes,Control,6,No,99,2,21,0.2857143,0.8095238,0
male,1965,yes,yes,yes,no,yes,Yes,Control,6,No,99,2,21,0.2857143,0.8095238,0
female,1945,yes,yes,yes,no,no,Yes,Control,6,No,100,2,21,0.3333333,0.8095238,0
male,1948,yes,yes,yes,no,no,Yes,Control,6,No,100,2,21,0.3333333,0.8095238,0
female,1953,yes,yes,yes,no,no,Yes,Control,6,No,101,4,21,0.3333333,0.8095238,0
male,1982,no,no,yes,no,no,No,Control,6,No,101,4,21,0.3333333,0.8095238,0
male,1953,no,no,yes,no,no,No,Control,6,No,101,4,21,0.3333333,0.8095238,0
male,1984,no,no,yes,no,no,No,Control,6,No,101,4,21,0.3333333,0.8095238,0
female,1953,yes,yes,yes,yes,no,Yes,Control,6,No,102,1,21,0.1428571,0.7142857,0
female,1957,yes,yes,yes,no,no,Yes,Hawthorne,6,No,103,2,21,0.2857143,0.9047619,0
male,1953,yes,yes,yes,no,no,No,Hawthorne,6,No,103,2,21,0.2857143,0.9047619,0
female,1960,yes,yes,yes,yes,no,No,Control,6,No,104,2,21,0.2380952,0.8571429,0
male,1960,yes,yes,yes,yes,no,No,Control,6,No,104,2,21,0.2380952,0.8571429,0
female,1974,yes,yes,yes,yes,no,Yes,Control,6,No,105,2,21,0.2380952,0.9047619,0
male,1970,yes,no,yes,no,no,Yes,Control,6,No,105,2,21,0.2380952,0.9047619,0
male,1956,yes,no,yes,no,no,No,Self,6,No,106,2,21,0.4285714,0.952381,0
female,1960,yes,yes,yes,no,no,No,Self,6,Yes,106,2,21,0.4285714,0.952381,1
male,1962,yes,yes,yes,no,no,No,Civic Duty,6,No,107,3,21,0.2380952,0.9047619,0
female,1964,yes,yes,yes,no,no,No,Civic Duty,6,Yes,107,3,21,0.2380952,0.9047619,1
male,1984,no,no,yes,no,no,No,Civic Duty,6,No,107,3,21,0.2380952,0.9047619,0
male,1972,yes,yes,yes,yes,yes,Yes,Control,6,No,108,2,21,0.2857143,0.952381,0
female,1969,yes,no,yes,no,yes,Yes,Control,6,No,108,2,21,0.2857143,0.952381,0
female,1944,yes,yes,yes,yes,no,No,Hawthorne,21,No,361,2,21,0.047619,0.952381,0
